Entity,Code,Year,Wind (% growth)
Africa,,1994,170
Africa,,1995,16.666662216186523
Africa,,1996,12.69841194152832
Africa,,1997,1.4084458351135254
Africa,,1998,5.555558204650879
Africa,,1999,160.52630615234375
Africa,,2000,786.3637084960938
Africa,,2001,136.79771423339844
Africa,,2002,6.738543510437012
Africa,,2003,20.7435245513916
Africa,,2004,43.4432258605957
Africa,,2005,1.575148105621338
Africa,,2006,9.24975872039795
Africa,,2007,19.19591522216797
Africa,,2008,29.083656311035156
Africa,,2009,21.15088653564453
Africa,,2010,43.75395965576172
Africa,,2011,4.461276531219482
Africa,,2012,5.4106950759887695
Africa,,2013,42.84480667114258
Africa,,2014,40.81388854980469
Africa,,2015,76.09799194335938
Africa,,2016,25.426589965820312
Africa,,2017,11.46242618560791
Africa,,2018,18.558120727539062
Africa,,2019,30.890453338623047
Africa,,2020,10.197091102600098
Africa,,2021,14.613378524780273
Africa (BP),,1994,170
Africa (BP),,1995,16.666662216186523
Africa (BP),,1996,12.69841194152832
Africa (BP),,1997,1.4084458351135254
Africa (BP),,1998,5.555558204650879
Africa (BP),,1999,160.52630615234375
Africa (BP),,2000,786.3637084960938
Africa (BP),,2001,136.79771423339844
Africa (BP),,2002,6.738531589508057
Africa (BP),,2003,20.74353790283203
Africa (BP),,2004,43.4432258605957
Africa (BP),,2005,1.575148105621338
Africa (BP),,2006,9.24975872039795
Africa (BP),,2007,19.19591522216797
Africa (BP),,2008,29.083656311035156
Africa (BP),,2009,21.15088653564453
Africa (BP),,2010,43.75395965576172
Africa (BP),,2011,4.461276531219482
Africa (BP),,2012,5.4106950759887695
Africa (BP),,2013,42.84480667114258
Africa (BP),,2014,40.81388854980469
Africa (BP),,2015,76.09799194335938
Africa (BP),,2016,25.426589965820312
Africa (BP),,2017,11.46242618560791
Africa (BP),,2018,18.558120727539062
Africa (BP),,2019,30.890453338623047
Africa (BP),,2020,10.197103500366211
Africa (BP),,2021,14.61336612701416
Algeria,DZA,2015,1799.999755859375
Algeria,DZA,2016,0.27397871017456055
Algeria,DZA,2017,-0.2732276916503906
Algeria,DZA,2018,-47.3684196472168
Algeria,DZA,2019,0
Algeria,DZA,2020,-22.999996185302734
Algeria,DZA,2021,36.3636360168457
Argentina,ARG,1997,51.71553039550781
Argentina,ARG,1998,123.00574493408203
Argentina,ARG,1999,6.883633136749268
Argentina,ARG,2000,-0.06612539291381836
Argentina,ARG,2001,42.01334762573242
Argentina,ARG,2002,48.710514068603516
Argentina,ARG,2003,6.1971306800842285
Argentina,ARG,2004,-7.065701484680176
Argentina,ARG,2005,-1.0025978088378906
Argentina,ARG,2006,-2.8997063636779785
Argentina,ARG,2007,-11.555147171020508
Argentina,ARG,2008,-31.889862060546875
Argentina,ARG,2009,-12.203621864318848
Argentina,ARG,2010,-31.16873550415039
Argentina,ARG,2011,4.887044429779053
Argentina,ARG,2012,1290.9527587890625
Argentina,ARG,2013,22.574066162109375
Argentina,ARG,2014,36.64593505859375
Argentina,ARG,2015,-4.2221784591674805
Argentina,ARG,2016,-7.748741149902344
Argentina,ARG,2017,11.73051643371582
Argentina,ARG,2018,131.0037841796875
Argentina,ARG,2019,253.6359100341797
Argentina,ARG,2020,88.36473083496094
Argentina,ARG,2021,37.47792053222656
Asia,,1991,269.1145935058594
Asia,,1992,79.49714660644531
Asia,,1993,40.341712951660156
Asia,,1994,86.56655883789062
Asia,,1995,92.80984497070312
Asia,,1996,-12.355417251586914
Asia,,1997,22.41604232788086
Asia,,1998,21.919357299804688
Asia,,1999,39.21696090698242
Asia,,2000,17.385482788085938
Asia,,2001,34.32675552368164
Asia,,2002,8.428585052490234
Asia,,2003,32.38945007324219
Asia,,2004,77.37812805175781
Asia,,2005,25.78765106201172
Asia,,2006,56.6517333984375
Asia,,2007,32.83201599121094
Asia,,2008,52.93601608276367
Asia,,2009,55.3455810546875
Asia,,2010,53.85056686401367
Asia,,2011,41.233489990234375
Asia,,2012,30.84922981262207
Asia,,2013,28.39410400390625
Asia,,2014,14.08240795135498
Asia,,2015,14.163410186767578
Asia,,2016,29.574085235595703
Asia,,2017,25.217676162719727
Asia,,2018,19.122493743896484
Asia,,2019,10.402059555053711
Asia,,2020,12.590181350708008
Asia,,2021,35.721588134765625
Asia Pacific (BP),,1991,277.4403076171875
Asia Pacific (BP),,1992,80.71507263183594
Asia Pacific (BP),,1993,41.43917465209961
Asia Pacific (BP),,1994,87.14543914794922
Asia Pacific (BP),,1995,92.19058990478516
Asia Pacific (BP),,1996,-11.625904083251953
Asia Pacific (BP),,1997,22.472143173217773
Asia Pacific (BP),,1998,22.7027530670166
Asia Pacific (BP),,1999,37.84357452392578
Asia Pacific (BP),,2000,24.87267303466797
Asia Pacific (BP),,2001,37.18729019165039
Asia Pacific (BP),,2002,15.625249862670898
Asia Pacific (BP),,2003,31.32181167602539
Asia Pacific (BP),,2004,72.00724792480469
Asia Pacific (BP),,2005,30.83264923095703
Asia Pacific (BP),,2006,54.50127029418945
Asia Pacific (BP),,2007,32.489967346191406
Asia Pacific (BP),,2008,46.6475715637207
Asia Pacific (BP),,2009,52.01811981201172
Asia Pacific (BP),,2010,48.56375503540039
Asia Pacific (BP),,2011,39.353477478027344
Asia Pacific (BP),,2012,30.094385147094727
Asia Pacific (BP),,2013,27.584325790405273
Asia Pacific (BP),,2014,13.689315795898438
Asia Pacific (BP),,2015,13.433874130249023
Asia Pacific (BP),,2016,28.0303955078125
Asia Pacific (BP),,2017,24.410892486572266
Asia Pacific (BP),,2018,19.356643676757812
Asia Pacific (BP),,2019,10.717260360717773
Asia Pacific (BP),,2020,12.413156509399414
Asia Pacific (BP),,2021,35.47989273071289
Australia,AUS,1994,174.99996948242188
Australia,AUS,1995,27.272737503051758
Australia,AUS,1996,0
Australia,AUS,1997,7.142853736877441
Australia,AUS,1998,139.99998474121094
Australia,AUS,1999,138.88890075683594
Australia,AUS,2000,211.62791442871094
Australia,AUS,2001,114.17910766601562
Australia,AUS,2002,85.90592956542969
Australia,AUS,2003,31.955766677856445
Australia,AUS,2004,12.91811466217041
Australia,AUS,2005,63.40251159667969
Australia,AUS,2006,66.43701934814453
Australia,AUS,2007,31.91341209411621
Australia,AUS,2008,21.259784698486328
Australia,AUS,2009,28.316152572631836
Australia,AUS,2010,12.331700325012207
Australia,AUS,2011,29.027080535888672
Australia,AUS,2012,20.10260772705078
Australia,AUS,2013,19.857608795166016
Australia,AUS,2014,5.5945634841918945
Australia,AUS,2015,21.028959274291992
Australia,AUS,2016,10.197782516479492
Australia,AUS,2017,1.3120293617248535
Australia,AUS,2018,23.09600067138672
Australia,AUS,2019,19.737672805786133
Australia,AUS,2020,16.101348876953125
Australia,AUS,2021,18.529678344726562
Austria,AUT,1996,399.99993896484375
Austria,AUT,1997,300
Austria,AUT,1998,125.0000228881836
Austria,AUT,1999,13.333332061767578
Austria,AUT,2000,31.37255859375
Austria,AUT,2001,156.71641540527344
Austria,AUT,2002,18.023252487182617
Austria,AUT,2003,80.29557800292969
Austria,AUT,2004,152.4590301513672
Austria,AUT,2005,44.07756423950195
Austria,AUT,2006,31.662548065185547
Austria,AUT,2007,16.225074768066406
Austria,AUT,2008,-1.2727141380310059
Austria,AUT,2009,-2.844846248626709
Austria,AUT,2010,5.622899532318115
Austria,AUT,2011,-6.18618106842041
Austria,AUT,2012,27.15538787841797
Austria,AUT,2013,28.074514389038086
Austria,AUT,2014,21.962749481201172
Austria,AUT,2015,25.861549377441406
