Entity,Code,Year,Hydro (% growth)
Africa,,1966,11.537540435791016
Africa,,1967,4.3883562088012695
Africa,,1968,16.970943450927734
Africa,,1969,16.699195861816406
Africa,,1970,25.019527435302734
Africa,,1971,-5.852383613586426
Africa,,1972,13.915157318115234
Africa,,1973,5.779027938842773
Africa,,1974,13.786161422729492
Africa,,1975,5.750095844268799
Africa,,1976,10.816240310668945
Africa,,1977,9.88365364074707
Africa,,1978,0.8233785629272461
Africa,,1979,7.036292552947998
Africa,,1980,-2.5288760662078857
Africa,,1981,3.893709182739258
Africa,,1982,0.026559829711914062
Africa,,1983,-9.87740707397461
Africa,,1984,-1.673448085784912
Africa,,1985,11.147928237915039
Africa,,1986,3.429114818572998
Africa,,1987,-4.084259033203125
Africa,,1988,9.248518943786621
Africa,,1989,5.005753040313721
Africa,,1990,1.7386555671691895
Africa,,1991,5.9328436851501465
Africa,,1992,-4.60202693939209
Africa,,1993,-2.0355641841888428
Africa,,1994,1.6116738319396973
Africa,,1995,3.7725329399108887
Africa,,1996,4.262387752532959
Africa,,1997,2.464902400970459
Africa,,1998,4.388844966888428
Africa,,1999,6.045138835906982
Africa,,2000,6.467556953430176
Africa,,2001,7.458961009979248
Africa,,2002,5.140841007232666
Africa,,2003,-2.8836488723754883
Africa,,2004,5.6250691413879395
Africa,,2005,1.8553972244262695
Africa,,2006,3.615140914916992
Africa,,2007,3.4212231636047363
Africa,,2008,1.8578529357910156
Africa,,2009,2.6750564575195312
Africa,,2010,8.173203468322754
Africa,,2011,2.833867073059082
Africa,,2012,0.43016672134399414
Africa,,2013,5.77695369720459
Africa,,2014,5.464911460876465
Africa,,2015,-2.955496311187744
Africa,,2016,-2.4817943572998047
Africa,,2017,7.592272758483887
Africa,,2018,6.536543369293213
Africa,,2019,3.5791635513305664
Africa,,2020,4.9889445304870605
Africa,,2021,4.8134684562683105
Africa (BP),,1966,11.537551879882812
Africa (BP),,1967,4.3883442878723145
Africa (BP),,1968,16.970956802368164
Africa (BP),,1969,16.699182510375977
Africa (BP),,1970,25.01953887939453
Africa (BP),,1971,-5.852383613586426
Africa (BP),,1972,13.915157318115234
Africa (BP),,1973,5.779027938842773
Africa (BP),,1974,13.786161422729492
Africa (BP),,1975,5.750107765197754
Africa (BP),,1976,10.816228866577148
Africa (BP),,1977,9.88365364074707
Africa (BP),,1978,0.8233785629272461
Africa (BP),,1979,7.036292552947998
Africa (BP),,1980,-2.528887987136841
Africa (BP),,1981,3.893709182739258
Africa (BP),,1982,0.026559829711914062
Africa (BP),,1983,-9.87740707397461
Africa (BP),,1984,-1.673448085784912
Africa (BP),,1985,11.147928237915039
Africa (BP),,1986,3.429126739501953
Africa (BP),,1987,-4.084265232086182
Africa (BP),,1988,9.248518943786621
Africa (BP),,1989,5.005753040313721
Africa (BP),,1990,1.7386436462402344
Africa (BP),,1991,5.9328436851501465
Africa (BP),,1992,-4.60202693939209
Africa (BP),,1993,-2.0355641841888428
Africa (BP),,1994,1.6116857528686523
Africa (BP),,1995,3.7725210189819336
Africa (BP),,1996,4.262387752532959
Africa (BP),,1997,2.464902400970459
Africa (BP),,1998,4.388844966888428
Africa (BP),,1999,6.045126914978027
Africa (BP),,2000,6.467568874359131
Africa (BP),,2001,7.458961009979248
Africa (BP),,2002,5.140841007232666
Africa (BP),,2003,-2.8836488723754883
Africa (BP),,2004,5.625057220458984
Africa (BP),,2005,1.8553972244262695
Africa (BP),,2006,3.6151528358459473
Africa (BP),,2007,3.4212112426757812
Africa (BP),,2008,1.8578529357910156
Africa (BP),,2009,2.6750564575195312
Africa (BP),,2010,8.173227310180664
Africa (BP),,2011,2.833855152130127
Africa (BP),,2012,0.43016672134399414
Africa (BP),,2013,5.77695369720459
Africa (BP),,2014,5.464911460876465
Africa (BP),,2015,-2.955496311187744
Africa (BP),,2016,-2.4817943572998047
Africa (BP),,2017,7.592272758483887
Africa (BP),,2018,6.536555290222168
Africa (BP),,2019,3.5791397094726562
Africa (BP),,2020,4.9889445304870605
Africa (BP),,2021,4.8134565353393555
Algeria,DZA,1966,-11.250000953674316
Algeria,DZA,1967,15.492963790893555
Algeria,DZA,1968,37.31708526611328
Algeria,DZA,1969,-35.87921905517578
Algeria,DZA,1970,60.66481018066406
Algeria,DZA,1971,-43.10344314575195
Algeria,DZA,1972,50
Algeria,DZA,1973,51.919185638427734
Algeria,DZA,1974,-33.90957260131836
Algeria,DZA,1975,-34.00402069091797
Algeria,DZA,1976,18.59755516052246
Algeria,DZA,1977,-30.848329544067383
Algeria,DZA,1978,-7.063192367553711
Algeria,DZA,1979,16.40000343322754
Algeria,DZA,1980,-11.68385124206543
Algeria,DZA,1981,42.41244888305664
Algeria,DZA,1982,30.874324798583984
Algeria,DZA,1983,-50.939456939697266
Algeria,DZA,1984,92.34042358398438
Algeria,DZA,1985,42.92036437988281
Algeria,DZA,1986,-61.30031204223633
Algeria,DZA,1987,99.60000610351562
Algeria,DZA,1988,-63.326656341552734
Algeria,DZA,1989,23.497272491455078
Algeria,DZA,1990,-40.26548385620117
Algeria,DZA,1991,117.03703308105469
Algeria,DZA,1992,-32.081912994384766
Algeria,DZA,1993,77.38692474365234
Algeria,DZA,1994,-52.97450256347656
Algeria,DZA,1995,16.26506996154785
Algeria,DZA,1996,-30.051809310913086
Algeria,DZA,1997,-44.44444274902344
Algeria,DZA,1998,186.66665649414062
Algeria,DZA,1999,-5.58139705657959
Algeria,DZA,2000,-73.39900970458984
Algeria,DZA,2001,27.777767181396484
Algeria,DZA,2002,-17.391300201416016
