Entity,Code,Year,Renewables (% equivalent primary energy)
New Zealand,NZL,1970,38.82334137
New Zealand,NZL,1971,41.63017273
New Zealand,NZL,1972,41.19132996
New Zealand,NZL,1973,39.16833496
New Zealand,NZL,1974,40.75779343
New Zealand,NZL,1975,43.62090302
New Zealand,NZL,1976,39.51554489
New Zealand,NZL,1977,36.93730927
New Zealand,NZL,1978,39.57416153
New Zealand,NZL,1979,44.90281296
New Zealand,NZL,1980,46.87519836
New Zealand,NZL,1981,47.39573669
New Zealand,NZL,1982,43.06932831
New Zealand,NZL,1983,44.42584229
New Zealand,NZL,1984,43.67002487
New Zealand,NZL,1985,41.67255783
New Zealand,NZL,1986,43.00836563
New Zealand,NZL,1987,42.31164932
New Zealand,NZL,1988,42.15485001
New Zealand,NZL,1989,47.13667297
New Zealand,NZL,1990,41.45618057
New Zealand,NZL,1991,40.46457291
New Zealand,NZL,1992,37.51461029
New Zealand,NZL,1993,40.29460526
New Zealand,NZL,1994,41.25230789
New Zealand,NZL,1995,42.10404205
New Zealand,NZL,1996,39.54180908
New Zealand,NZL,1997,35.60651398
New Zealand,NZL,1998,38.75766373
New Zealand,NZL,1999,35.64335251
New Zealand,NZL,2000,36.37421417
New Zealand,NZL,2001,32.7307663
New Zealand,NZL,2002,35.12674713
New Zealand,NZL,2003,34.35714722
New Zealand,NZL,2004,37.79446793
New Zealand,NZL,2005,34.68292236
New Zealand,NZL,2006,34.81112289
New Zealand,NZL,2007,35.40663528
New Zealand,NZL,2008,34.39745712
New Zealand,NZL,2009,37.89860535
New Zealand,NZL,2010,38.81748581
New Zealand,NZL,2011,39.53388596
New Zealand,NZL,2012,36.91487122
New Zealand,NZL,2013,36.9217453
New Zealand,NZL,2014,37.53689194
New Zealand,NZL,2015,38.12943268
New Zealand,NZL,2016,38.99087143
New Zealand,NZL,2017,37.08300018
New Zealand,NZL,2018,38.16226196
New Zealand,NZL,2019,36.76237869
New Zealand,NZL,2020,39.06418228
New Zealand,NZL,2021,40.21865082
Non-OECD (BP),,1965,4.839712143
Non-OECD (BP),,1966,4.976995945
Non-OECD (BP),,1967,4.858230114
Non-OECD (BP),,1968,5.284091949
Non-OECD (BP),,1969,5.408658981
Non-OECD (BP),,1970,5.520801067
Non-OECD (BP),,1971,5.446406841
Non-OECD (BP),,1972,5.425066471
Non-OECD (BP),,1973,5.342487335
Non-OECD (BP),,1974,5.617329597
Non-OECD (BP),,1975,5.52462244
Non-OECD (BP),,1976,5.627865791
Non-OECD (BP),,1977,5.790477753
Non-OECD (BP),,1978,6.058990002
Non-OECD (BP),,1979,6.177576542
Non-OECD (BP),,1980,6.505041599
Non-OECD (BP),,1981,6.565573215
Non-OECD (BP),,1982,6.402077675
Non-OECD (BP),,1983,6.466029644
Non-OECD (BP),,1984,6.721475601
Non-OECD (BP),,1985,6.906068325
Non-OECD (BP),,1986,6.983157158
Non-OECD (BP),,1987,6.891246796
Non-OECD (BP),,1988,7.000466347
Non-OECD (BP),,1989,7.039381504
