Entity,Code,Year,Renewables per capita (kWh - equivalent)
Africa,,1965,0.12843716430664062
Africa,,1966,0.13971664428710937
Africa,,1967,0.14221955871582032
Africa,,1968,0.1621884002685547
Africa,,1969,0.1844984588623047
Africa,,1970,0.22479962158203126
Africa,,1971,0.2076360778808594
Africa,,1972,0.23025877380371093
Africa,,1973,0.23720370483398437
Africa,,1974,0.2626702575683594
Africa,,1975,0.27028582763671877
Africa,,1976,0.2914169006347656
Africa,,1977,0.311408935546875
Africa,,1978,0.3053960876464844
Africa,,1979,0.31781243896484374
Africa,,1980,0.301264404296875
Africa,,1981,0.30431549072265623
Africa,,1982,0.29603680419921874
Africa,,1983,0.25946926879882815
Africa,,1984,0.2480632781982422
Africa,,1985,0.2680894470214844
Africa,,1986,0.27149038696289063
Africa,,1987,0.25331907653808594
Africa,,1988,0.268676025390625
Africa,,1989,0.27426220703125
Africa,,1990,0.27243096923828125
Africa,,1991,0.28089007568359375
Africa,,1992,0.26137136840820313
Africa,,1993,0.2500659942626953
Africa,,1994,0.247195556640625
Africa,,1995,0.2507676239013672
Africa,,1996,0.2558835296630859
Africa,,1997,0.25622848510742186
Africa,,1998,0.26207879638671877
Africa,,1999,0.27080410766601565
Africa,,2000,0.28382080078125
Africa,,2001,0.29620391845703126
Africa,,2002,0.3015036315917969
Africa,,2003,0.2856264343261719
Africa,,2004,0.29390911865234376
Africa,,2005,0.2901912841796875
Africa,,2006,0.29386871337890624
Africa,,2007,0.2925760803222656
Africa,,2008,0.2898766174316406
Africa,,2009,0.2896737060546875
Africa,,2010,0.3051167907714844
Africa,,2011,0.3050354309082031
Africa,,2012,0.29848419189453124
Africa,,2013,0.3078384094238281
Africa,,2014,0.32168826293945313
Africa,,2015,0.31898788452148436
Africa,,2016,0.31242004394531253
Africa,,2017,0.3306317138671875
Africa,,2018,0.34828207397460936
Africa,,2019,0.36340380859375
Africa,,2020,0.37661544799804686
Africa,,2021,0.3864183349609375
Algeria,DZA,1965,0.09424006652832032
Algeria,DZA,1966,0.08135794830322265
Algeria,DZA,1967,0.09132682800292968
Algeria,DZA,1968,0.12184104919433594
Algeria,DZA,1969,0.07591338348388672
Algeria,DZA,1970,0.11856584167480469
Algeria,DZA,1971,0.06561254119873047
Algeria,DZA,1972,0.09575496673583984
Algeria,DZA,1973,0.14154548645019532
Algeria,DZA,1974,0.09100389862060547
Algeria,DZA,1975,0.05840015411376953
Algeria,DZA,1976,0.06732309722900391
Algeria,DZA,1977,0.045238845825195315
Algeria,DZA,1978,0.04083727645874023
Algeria,DZA,1979,0.046143989562988284
Algeria,DZA,1980,0.039535926818847655
Algeria,DZA,1981,0.05459251022338867
Algeria,DZA,1982,0.06925168609619141
Algeria,DZA,1983,0.03293036270141601
Algeria,DZA,1984,0.06141265106201172
Algeria,DZA,1985,0.08515766906738281
Algeria,DZA,1986,0.031998741149902345
Algeria,DZA,1987,0.062064426422119144
Algeria,DZA,1988,0.022137983322143555
Algeria,DZA,1989,0.026618110656738282
Algeria,DZA,1990,0.015497323989868165
Algeria,DZA,1991,0.032817512512207034
Algeria,DZA,1992,0.02177126121520996
Algeria,DZA,1993,0.03777085494995117
Algeria,DZA,1994,0.017397891998291014
Algeria,DZA,1995,0.019845018386840822
Algeria,DZA,1996,0.013639989852905274
Algeria,DZA,1997,0.007456353187561035
Algeria,DZA,1998,0.021056472778320314
Algeria,DZA,1999,0.01960163688659668
Algeria,DZA,2000,0.00514387845993042
